drachten,harkema
65.0,123.0
56.0,84.0
42.0,39.0
38.0,56.0
33.0,45.0
28.0,26.0
27.0,16.0
22.0,46.0
21.0,36.0
19.0,18.0
18.0,12.0
15.0,26.0
14.0,15.0
14.0,15.0
13.0,13.0
12.0,19.0
12.0,8.0
11.0,19.0
11.0,6.0
11.0,18.0
10.0,8.0
10.0,17.0
8.0,20.0
8.0,4.0
8.0,23.0
8.0,27.0
8.0,31.0
8.0,14.0
7.0,0.0
7.0,18.0
7.0,30.0
7.0,14.0
6.0,22.0
6.0,3.0
6.0,0.0
6.0,10.0
6.0,9.0
6.0,2.0
5.0,12.0
5.0,7.0
5.0,5.0
5.0,2.0
5.0,15.0
5.0,17.0
5.0,19.0
5.0,0.0
5.0,12.0
5.0,2.0
5.0,9.0
4.0,24.0
4.0,0.0
4.0,3.0
4.0,3.0
4.0,11.0
4.0,2.0
4.0,1.0
4.0,0.0
4.0,2.0
4.0,1.0
4.0,16.0
4.0,2.0
4.0,2.0
4.0,2.0
4.0,0.0
4.0,8.0
4.0,3.0
4.0,0.0
4.0,3.0
3.0,10.0
3.0,4.0
3.0,0.0
3.0,6.0
3.0,2.0
3.0,1.0
3.0,0.0
3.0,8.0
3.0,0.0
3.0,0.0
3.0,0.0
3.0,1.0
3.0,1.0
3.0,1.0
3.0,3.0
3.0,5.0
3.0,11.0
3.0,0.0
2.0,1.0
2.0,1.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,2.0
2.0,1.0
2.0,0.0
2.0,1.0
2.0,3.0
2.0,15.0
2.0,1.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,1.0
2.0,1.0
2.0,0.0
2.0,1.0
2.0,0.0
2.0,6.0
2.0,5.0
2.0,1.0
2.0,1.0
2.0,5.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,0.0
2.0,2.0
2.0,2.0
2.0,12.0
2.0,0.0
2.0,6.0
2.0,12.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,2.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,15.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,2.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,2.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,2.0
1.0,0.0
1.0,2.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,2.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,4.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,2.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,3.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,0.0
1.0,0.0
1.0,3.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,9.0
0.0,7.0
0.0,6.0
0.0,5.0
0.0,4.0
0.0,4.0
0.0,4.0
0.0,3.0
0.0,3.0
0.0,3.0
0.0,3.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
